table,item_name,url,description
t2,Net Change in Operating Cash Balance,,This line item gives the daily net change in the Treasury's operating cash after all the cash deposits and withdrawals take place.
t2,Ofc of Thrift Supervision ( Assessments ),http://www.ots.treas.gov/index.html,"This line item reflects fees on savings banks collected by the Office of Thrift Supervision, which supervised savings and loan banks prior to its dissolution in 2011. Its operations have been merged with the Treasury's Office of the Comptroller of the Currency."
t2,Overseas Private Investment Co,http://www.opic.gov/,"This is the arm of the government that provides loans, guarantees and other financing to U.S. businesses operating in emerging markets."
t2,Pension Benefit Guaranty Corp,http://www.pbgc.gov/,"This line item reflects insurance premium collections and benefit payments from the Pension benefit Guaranty Corporation, which insures pension plans and pays benefits in case they fail."
t2,Pmt to Corp for Pub Broadcasting,http://www.cpb.org/,This is an annual payment the Treasury makes to the Corporation for Public Broadcasting.
t2,Pmt to Int l Bk for Reconstruction,"http://web.worldbank.org/WBSITE/EXTERNAL/EXTABOUTUS/EXTIBRD/0,,menuPK:3046081~pagePK:64168427~piPK:64168435~theSitePK:3046012,00.html","These are payments to the International Bank for Reconstruction and Development, which provides loans, guarantees and other financial assistance to middle-income countries."
t2,Pmt to Internat l Development Assn,http://www.worldbank.org/ida/,"These are payments to the World Bank's International Development Association, which provides aid to the poorest countries."
t2,Pmt to Resolution Funding Corp ( RTC ),,"This line item is no longer in use. The Resolution Trust Corporation was a limited-life entity created by Congress to resolve the savings and loan crisis of the 1980s by buying, merging or selling failed banking institutions known as thrifts."
t2,Pmt to Resolution Funding Corp ( Treas ),,
t2,Postal Service,https://www.usps.com/,"This is the operating cash of the Postal Service, which the USPS deposits each day with the Treasury."
t2,Postal Service Money Orders and Other,https://www.usps.com/,These are payments made to fulfill Postal Service Money Orders.
t2,Prem ESF Money Mkt Guar Facility,,Premiums received as part of the Temporary Guarantee Program for Money Market Funds.  
t2,Prepayment of Treasury Securities,http://www.treasury.gov/Pages/default.aspx,This line item represents the early redemption of Treasury debt from investors.
t2,Presidential Election Campaign Fund,http://www.fec.gov/press/bkgnd/fund.shtml,This is the public fund for Presidential campaigns.
t2,Public Debt Cash Issues ( Table III B ),,This line item flows over from the cash impact of debt issues calculated in Table III B.
t2,Public Debt Cash Redemp ( Table III B ),,This line item flows over from the cash impact of debt redemptions calculated in Table III B.
t2,Puerto Rico Refund of IRS Collections,http://www2.pr.gov/Pages/default.aspx,These are tax refunds issued to the Puerto Rico government.
t2,Railroad Retirement ( EFT ),http://www.rrb.gov/mep/nrrit.asp,"This line item reflects benefits paid via electronic funds transfer by the Railroad Retirement Board, which administers retirement and survivor, unemployment and sickness benefits for U.S. railroad workers and their families."
